Block size,Time to read
943,1718839346
944,1718505709
945,1713152045
946,1710986168
947,1715295844
948,1720292149
949,1708212865
950,1702496783
951,1718231075
952,1715269757
953,1710339831
954,1717369766
955,1708210672
956,1711994083
957,1713666146
958,1702346927
959,1709215525
960,1705787489
961,1708814480
962,1711007931
963,1704760033
964,1709531476
965,1701463778
966,1700432828
967,1701490616
968,1704128026
969,1703304154
970,1706483192
971,1707600174
972,1702593965
973,1704379270
974,1701865507
975,1698545850
976,1702832822
977,1701718842
978,1702377455
979,1698328515
980,1711897088
981,1704293941
982,1696531456
983,1700443239
984,1707425444
985,1698795071
986,1694501862
987,1692379493
988,1692457535
989,1698272757
990,1690820960
991,1695990990
992,1699203498
993,1697987717
994,1693417172
995,1688203594
996,1702140468
997,1694814465
998,1687192301
999,1688934437
1000,1690680753
